statefips,state,state_name,total,top_01,top_05,top_10,top_25,top_50,top_75,agi_01,agi_05,agi_10,agi_25,agi_50,agi_75,total_agi,sum_agi_01,sum_agi_05,sum_agi_10,sum_agi_25,sum_agi_50,sum_agi_75,total_sal_num,total_sal_amt,num_sal_01,sum_sal_01,num_sal_05,sum_sal_05,num_sal_10,sum_sal_10,num_sal_25,sum_sal_25,num_sal_50,sum_sal_50,num_sal_75,sum_sal_75,total_int_num,total_int_amt,num_int_01,sum_int_01,num_int_05,sum_int_05,num_int_10,sum_int_10,num_int_25,sum_int_25,num_int_50,sum_int_50,num_int_75,sum_int_75,total_div_num,total_div_amt,num_div_01,sum_div_01,num_div_05,sum_div_05,num_div_10,sum_div_10,num_div_25,sum_div_25,num_div_50,sum_div_50,num_div_75,sum_div_75,total_businc_num,total_businc_amt,num_businc_01,sum_businc_01,num_businc_05,sum_businc_05,num_businc_10,sum_businc_10,num_businc_25,sum_businc_25,num_businc_50,sum_businc_50,num_businc_75,sum_businc_75,total_cpgain_num,total_cpgain_amt,num_cpgain_01,sum_cpgain_01,num_cpgain_05,sum_cpgain_05,num_cpgain_10,sum_cpgain_10,num_cpgain_25,sum_cpgain_25,num_cpgain_50,sum_cpgain_50,num_cpgain_75,sum_cpgain_75,total_iradist_num,total_iradist_amt,num_iradist_01,sum_iradist_01,num_iradist_05,sum_iradist_05,num_iradist_10,sum_iradist_10,num_iradist_25,sum_iradist_25,num_iradist_50,sum_iradist_50,num_iradist_75,sum_iradist_75,total_pension_num,total_pension_amt,num_pension_01,sum_pension_01,num_pension_05,sum_pension_05,num_pension_10,sum_pension_10,num_pension_25,sum_pension_25,num_pension_50,sum_pension_50,num_pension_75,sum_pension_75,total_scorp_num,total_scorp_amt,num_scorp_01,sum_scorp_01,num_scorp_05,sum_scorp_05,num_scorp_10,sum_scorp_10,num_scorp_25,sum_scorp_25,num_scorp_50,sum_scorp_50,num_scorp_75,sum_scorp_75,total_tax,sum_tax_01,sum_tax_05,sum_tax_10,sum_tax_25,sum_tax_50,sum_tax_75
0,US,United States,135409135,1354091,6770457,13540914,33852284,67704568,101556851,431764,182091,129367,75895,37690,18077,9193837029,1699268907,3076217129,4101658332,6090885412,7929092630,8846889765,112578329,6373484156,1153296,695200367,5988732,1651806575,12070599,2422973719,29950198,3935162129,59377303,5377968203,88370472,6122557181,42891614,93670326,1263271,43879596,5474367,56580315,9879423,63256970,20332025,74814190,31478040,84835344,37615069,89844099,26002691,204428450,1104712,93122616,4437055,129439290,7484956,147134009,13862450,173210658,19981878,191846604,23238205,199404153,22637645,319641683,367340,48350731,1665309,111925154,3030565,143406192,6582623,191799717,11338860,237732191,15560874,273148156,22348567,470510096,1134813,342417051,4345529,404131359,7052481,426345791,12419173,452658850,17452441,465972021,20081041,469767342,13137139,212665422,189074,11779643,1058425,49280796,2126633,80578559,5139840,139244751,8711394,182542780,11042154,201964244,27042616,624576025,231028,12725693,1560090,80258806,3481482,160569366,9289959,346119746,16948140,514391271,22352976,590105040,8010268,571582099,818065,391376586,2350855,497226306,3353840,525696780,5122963,553854128,6664325,567958597,7451745,571717866,1235418549,467539850,721748701,860533397,1063161681,1199285237,1232843889
1,AL,Alabama,1909459,19095,95473,190946,477365,954730,1432094,316953,149698,111060,66444,32838,16475,104823822,14166563,29372339,41527251,66041711,88610019,100022051,1603887,75248521,16459,5831833,85026,16315400,171049,25568865,422431,44276240,838292,62312047,1247120,71750584,501124,829214,17154,280245,70467,403561,124896,475978,250336,609106,374081,722510,443712,782235,257910,1489979,14047,581842,51919,877358,84130,1019213,148211,1242324,204546,1389219,233929,1448323,321462,3083025,5818,556656,23253,1174555,41376,1428745,89774,1834275,156104,2180245,216169,2414627,212794,2723621,14016,1734747,48101,2197263,74851,2374421,126098,2584824,170309,2685739,192844,2715721,162865,2454308,3089,169906,16344,678496,30921,1032764,69225,1667659,111348,2122049,138755,2332147,416220,9341106,4087,237739,30250,1502416,62824,2697683,153688,5349086,267947,7697323,353383,8874466,89522,5974008,12473,4415644,30992,5391986,42005,5623142,61171,5857373,76581,5962877,83863,5983863,11670726,3763065,6222998,7706810,9954393,11354714,11649015
2,AK,Alaska,327153,3272,16358,32715,81788,163577,245365,377299,184816,140940,88099,46056,22082,22946890,2762473,5921132,8535704,13952014,19258891,21973960,284752,16383718,2795,958082,14667,3064407,29761,5043487,74100,9213047,146481,13392612,219845,15645214,93217,155606,3036,50816,12520,76227,22078,90116,44708,115186,70689,138065,83755,148718,75253,320561,2420,94805,9376,147533,16036,176297,31571,228359,50466,276167,63057,300810,53048,979501,953,164921,4482,370671,8129,464408,18373,643723,31955,814086,41989,921120,47263,679511,2446,376904,8811,509103,14185,562234,25639,626125,37382,665788,43104,676271,21578,385660,433,26830,2387,103004,4422,157498,9943,265160,16243,346326,19395,373796,61281,1841215,754,47181,5206,295989,10788,547472,25633,1104109,43568,1608270,53954,1777923,17431,1399332,2058,984161,5344,1224486,7356,1287660,11157,1356619,14651,1392841,16332,1400810,3118188,803081,1403969,1806186,2461964,2953853,3101169
4,AZ,Arizona,2643734,26437,132187,264373,660934,1321867,1982801,355876,163524,118603,70257,35153,17791,157555716,23018140,46361536,64543643,100461459,133617123,150725178,2168088,109585234,22243,10005266,114637,25788525,229060,38821150,564733,64961491,1128195,90697698,1693178,104690873,688434,1484901,23666,543427,96377,787010,168236,917341,332973,1142157,501036,1323174,595059,1411785,454534,3128206,19452,1125856,77636,1712284,130869,2031383,242033,2527543,345514,2871123,400771,3016819,404388,5060503,7210,684594,31141,1558693,56685,2010202,123124,2800715,207883,3565471,280018,4213728,424650,5902698,20858,3793313,79686,4772538,130443,5169242,232083,5626833,325147,5847700,374548,5905340,276559,4822332,4074,291740,23660,1190653,48440,1940188,114802,3274535,187346,4181807,232835,4582858,558478,13025073,5401,316490,37080,1909704,81603,3730512,208633,7695533,362822,10951399,464793,12339946,150522,8389654,15514,5378619,43379,7017972,62120,7505382,95456,8047461,124199,8312968,138663,8387578,18765950,6141733,10121414,12476634,15958752,18189352,18719115
5,AR,Arkansas,1139326,11393,56966,113933,284832,569663,854495,315491,144452,106018,63282,31924,16268,62274142,10152384,19081911,26032175,39949006,52883229,59560568,957627,42885864,10026,3599209,50340,9625016,100942,14768548,250126,25207972,499335,35491091,743676,40917479,297409,507906,10262,179203,42124,254822,73471,297684,145188,376190,217583,441598,260492,479010,163990,2714695,8148,2207863,31528,2367444,51016,2443073,90709,2567807,126958,2650360,147424,2688348,185389,1866126,3484,227538,14055,536604,25162,686258,55064,962994,95020,1258583,129070,1514987,144300,1868372,8295,1126054,30252,1454284,47346,1579401,81376,1743606,112185,1831283,129373,1859835,101241,1422958,1689,82823,9237,348337,18184,556491,42155,939107,68210,1211093,85881,1346583,229342,4545656,1968,99171,14646,651520,32250,1260467,83251,2603928,145857,3735804,192326,4296548,62915,3422822,7090,2204462,20097,2929029,28070,3125465,41615,3314901,52971,3406309,58638,3425325,7066412,2656812,4074792,4884886,6110596,6873398,7052657
6,CA,California,16066041,160660,803302,1606604,4016510,8033021,12049531,502468,208392,145176,80236,38261,18259,1209518506,248104038,436953536,574869138,831691040,1057652829,1167406334,13209283,827680414,133304,102888264,700423,234224042,1414525,337691213,3497027,531900793,6950424,709830544,10376813,798206705,5515012,12054141,151651,5614977,688049,7405824,1284340,8343188,2754323,9903051,4256900,11127010,4968423,11662917,2885871,26248853,130474,12109472,537681,16753889,905537,19069052,1650422,22521085,2304435,24833626,2616027,25680815,3028131,52327413,39457,6542208,196140,15777518,372379,21100158,828474,29584816,1440562,37939258,2027609,44917236,2750622,76611688,137752,57371828,555102,67298967,911950,70644292,1604951,74724288,2206903,76224662,2497587,76568599,1246999,23074274,20007,1341539,108545,5303068,220882,8865710,539653,15720642,887151,20353352,1080588,22127079,2531969,70427493,23710,1405035,154295,9131528,350442,19127320,956336,42467771,1701903,60856768,2157669,67570167,919431,77968302,93466,52598541,277973,67717310,399887,71700610,608967,75603317,777335,77443642,859357,77940268,170401063,66180131,103063914,122397970,149889401,166455298,170087972
8,CO,Colorado,2319511,23195,115976,231951,579878,1159756,1739633,438875,194874,140076,83270,42464,20822,167132801,26713071,51439666,70366159,107452962,142497572,160392595,1957186,115197668,19361,9920319,102225,26443497,206762,40389893,514312,68386463,1016568,95481046,1519499,110092503,734862,1705504,21835,773452,93485,1023676,167556,1149247,342358,1357702,536943,1547481,644292,1636892,511261,3549693,18682,1306474,78160,1994371,136009,2346758,261266,2873831,387330,3274029,454126,3436126,412423,5782721,6558,587713,30429,1595128,56775,2217121,127922,3239988,224120,4282373,301827,5065344,470501,9283063,19757,5977082,80428,7513352,135545,8099373,249262,8772115,360921,9142063,419126,9248251,231459,3902792,3114,189771,17562,810927,35921,1374966,88746,2464576,155298,3326120,195540,3693133,443186,11241481,3969,188208,26205,1269475,58963,2678035,156702,6097134,288902,9407535,373485,10689806,203790,11218710,15517,6256962,49409,8763984,74221,9632307,121278,10574501,165277,11089090,187429,11213996,22478635,7302663,11964776,14688755,18717031,21558659,22391415
9,CT,Connecticut,1591901,15919,79595,159190,397975,795951,1193926,708638,243810,165641,95838,48468,22083,156852912,41766425,65569187,81253713,110864777,138468395,152090882,1313155,103450336,13495,17810800,70077,34329947,142318,46118900,355506,68613456,697210,89446281,1034444,100164646,642025,2157197,15445,1339942,69894,1572203,129373,1676551,280310,1851834,463053,2020461,563594,2101917,438550,4721200,14648,2299214,62635,3136827,109858,3514201,214776,4044425,328735,4461453,389820,4624704,258718,6251327,3771,1100651,21069,2537801,39523,3280461,86957,4327398,145731,5196515,192200,5772271,352689,11786722,14794,9375874,61325,10622753,102443,11027115,185704,11469333,271671,11710076,316837,11778104,195999,3406620,2014,145722,12282,690974,25831,1169194,66055,2085147,122843,2873995,160517,3217374,341495,8287479,2397,158662,15562,810187,36913,1746595,106301,4183631,207872,6737525,276915,7774433,101204,10989241,9914,7413046,30770,9657059,43660,10192219,65345,10667304,84611,10903905,94716,10979996,26853480,12365806,17682528,20109560,23546667,26055577,26788458
10,DE,Delaware,407865,4079,20393,40787,101966,203933,305899,363543,174259,129972,79495,40613,19945,26287146,3297638,7040044,10076056,16236394,22127360,25137906,340959,18462760,3483,1560604,18247,4162189,36575,6407094,89773,10874700,176830,15260993,263759,17630979,128729,195923,3743,51491,15775,81359,28382,98826,58803,135447,93185,168170,112601,184546,86977,616217,3373,256191,13537,363901,23174,418148,44313,505668,65980,573072,77509,599398,49497,618962,1010,71128,4214,190106,7599,250683,16726,354752,28187,458503,36939,537300,67810,746478,3296,430243,12365,576364,20115,633475,36417,701318,52655,737477,60957,745409,48804,806426,699,41014,3980,178728,7842,294465,18993,518173,32742,694618,41631,768804,103323,2501971,902,53917,6293,325007,13450,624486,35513,1356148,65102,2041180,85651,2354375,21948,1199359,2296,778590,6024,1004244,8368,1061761,13295,1137127,17878,1182492,20254,1197507,3189435,869008,1519004,1928582,2572230,3049217,3177268
11,DC,District of Columbia,317711,3177,15886,31771,79428,158856,238283,647327,249809,165907,87156,45729,21560,27609136,5623533,10210479,13405002,19009219,24043786,26679664,270581,19210693,2299,1888652,13402,4930610,27647,7391829,70272,11958841,141114,16240644,210856,18498957,95588,233988,3075,132185,13636,165163,25039,183837,50918,208683,75785,223811,88068,230304,69764,721516,2891,299235,12300,472207,21705,553104,40678,651840,57494,696816,65224,713397,56656,1156182,949,264882,4666,549488,8443,701797,16818,873218,27140,978847,37159,1034487,59720,1835650,2874,1304062,11901,1589672,20446,1695829,36626,1785725,49949,1820301,56057,1832161,17453,349110,517,35247,2577,130402,4723,191409,9328,274824,13410,321353,15738,339730,47935,1633650,659,45301,3521,250133,6853,451950,15971,881704,28932,1315311,40095,1554698,15050,2232825,2237,1634472,5962,2106327,8163,2174584,11308,2219498,13339,2232303,14328,2234218,4581472,1520144,2523887,3055521,3862335,4422462,4570104
