statefips,state,state_name,total,top_01,top_05,top_10,top_25,top_50,top_75,agi_01,agi_05,agi_10,agi_25,agi_50,agi_75,total_agi,sum_agi_01,sum_agi_05,sum_agi_10,sum_agi_25,sum_agi_50,sum_agi_75,total_sal_num,total_sal_amt,num_sal_01,sum_sal_01,num_sal_05,sum_sal_05,num_sal_10,sum_sal_10,num_sal_25,sum_sal_25,num_sal_50,sum_sal_50,num_sal_75,sum_sal_75,total_int_num,total_int_amt,num_int_01,sum_int_01,num_int_05,sum_int_05,num_int_10,sum_int_10,num_int_25,sum_int_25,num_int_50,sum_int_50,num_int_75,sum_int_75,total_div_num,total_div_amt,num_div_01,sum_div_01,num_div_05,sum_div_05,num_div_10,sum_div_10,num_div_25,sum_div_25,num_div_50,sum_div_50,num_div_75,sum_div_75,total_businc_num,total_businc_amt,num_businc_01,sum_businc_01,num_businc_05,sum_businc_05,num_businc_10,sum_businc_10,num_businc_25,sum_businc_25,num_businc_50,sum_businc_50,num_businc_75,sum_businc_75,total_cpgain_num,total_cpgain_amt,num_cpgain_01,sum_cpgain_01,num_cpgain_05,sum_cpgain_05,num_cpgain_10,sum_cpgain_10,num_cpgain_25,sum_cpgain_25,num_cpgain_50,sum_cpgain_50,num_cpgain_75,sum_cpgain_75,total_ira_pension_num,total_ira_pension_amt,num_ira_pension_01,sum_ira_pension_01,num_ira_pension_05,sum_ira_pension_05,num_ira_pension_10,sum_ira_pension_10,num_ira_pension_25,sum_ira_pension_25,num_ira_pension_50,sum_ira_pension_50,num_ira_pension_75,sum_ira_pension_75,total_scorp_num,total_scorp_amt,num_scorp_01,sum_scorp_01,num_scorp_05,sum_scorp_05,num_scorp_10,sum_scorp_10,num_scorp_25,sum_scorp_25,num_scorp_50,sum_scorp_50,num_scorp_75,sum_scorp_75,total_tax,sum_tax_01,sum_tax_05,sum_tax_10,sum_tax_25,sum_tax_50,sum_tax_75
42,PA,Pennsylvania,5728431,57284.00,286422.00,572843.0,1432108.00,2864216.0,4296323.00,494648,209157,149114,88885,46151,22607,451863723,78621102,146047226,195877449,293390043,386366735,434530177,4660615,305513160,49546,30740374,251470,76368032,503642,112847025,1245919,184827875,2464203,255100011,3677994,293582203,1962886,5028801,53606,2669738,233790,3237919,420073,3553602,864259,4105037,1369046,4590021,1668184,4830007,1319034,11192066,49115,4616724,203061,6888739,344345,7940537,649683,9417469,969419,10485176,1148707,10905966,805175,14150320,16799,2051785,71337,5005683,127533,6554408,268527,8970103,450772,11221058,599596,12736674,1044639,29767197,48925,20655784,190779,24620490,310825,26203717,554173,28134515,797683,29261119,928853,29628568,1642429,45556291,18041,1545649,98558,7140175,202638,12861972,516612,25492909,950365,36947388,1265749,42286584,303362,21553012,32635,13722134,92034,18387940,129467,19578736,193390,20734489,250600,21362982,281618,21552511,56314046,19940640,31406201,37889442,47285467,54079724,56135033
44,RI,Rhode Island,494698,4947.00,24735.00,49470.0,123675.00,247349.0,371024.00,450935,201027,147673,88035,45984,23043,37593245,5876000,11300863,15511317,23888920,31848304,36022888,414357,26065815,4272,2268329,21863,5887135,43989,8995689,108986,15236305,215769,21411126,324329,24906063,158612,354813,4611,153560,19574,203025,35000,230021,72867,279754,115069,321500,137708,339563,99254,836078,4108,334357,16401,509947,27863,587249,52782,707110,76873,788127,88749,816860,76529,1293607,1572,168619,6806,412306,12114,549865,25578,771334,41801,979111,55306,1132524,81311,2191353,4150,1401790,15701,1764983,25597,1907275,45755,2071555,64532,2156404,73642,2181164,120372,3592635,1648,131704,8992,616723,17869,1089687,43664,2135098,76417,3040925,97144,3385421,26687,1900925,2993,1270010,8281,1633806,11553,1734599,17492,1839747,22366,1887600,24835,1901259,4554806,1458410,2353090,2899944,3735474,4351287,4536325
45,SC,South Carolina,2102308,21023.00,105115.00,210231.0,525577.00,1051154.0,1576731.00,423744,184484,132484,77713,39187,20073,142345800,22381658,43840424,60057067,91809796,121028553,136263026,1729905,93310321,17610,7792041,88668,20804850,177492,31699303,440708,53818452,886315,76071404,1337568,88720714,533407,991398,19194,356393,79141,543189,138497,638811,272156,791818,402362,903322,471974,953400,354704,3192970,16542,1171689,65436,1935742,110332,2290435,201972,2754817,282313,3031049,321926,3129879,362904,4148397,6618,620863,27100,1423095,48947,1817655,106837,2484888,184791,3106194,251652,3502045,310279,8221634,17261,5288184,64505,6709149,105001,7245116,183707,7840248,250848,8121406,283036,8193400,573671,17497095,7398,626358,44339,3377207,91311,5997715,222096,11160428,377002,15031547,480208,16675118,116217,8932837,13573,5953370,38359,7746573,53698,8229809,79252,8689342,99476,8892677,108910,8938424,15506800,5328485,8630115,10538762,13222910,14986613,15466214
46,SD,South Dakota,380552,3806.00,19028.00,38055.0,95138.00,190276.0,285414.00,460683,185567,134001,85759,46194,24534,29068842,5382263,9417146,12367691,18400930,24464518,27775200,315835,17418595,3164,1279401,15609,3294535,31529,5131590,80017,9288794,160358,13696328,243058,16412097,140473,343228,3625,122819,16099,187612,29015,216691,60887,263466,98667,307030,120689,326748,83382,603629,3019,216490,12393,349533,21329,409946,41169,492663,62376,558288,73518,583501,60952,804932,1152,65060,5089,215767,9400,302146,21361,466692,37828,646144,48412,731384,80078,2503212,3204,1496599,12781,1908074,21398,2073838,39950,2285201,59965,2425881,70679,2474583,102170,2675208,1197,75319,6959,415946,14320,774124,35026,1510078,64132,2210849,83155,2504568,35372,2583240,2816,1706167,9691,2259484,14427,2399284,22466,2525513,29646,2578842,32868,2591098,3240558,1273904,1889182,2222774,2701023,3079065,3222863
47,TN,Tennessee,2827434,28274.00,141372.00,282743.0,706859.00,1413717.0,2120576.00,449871,184116,130062,76466,39603,20179,199132378,38060591,67641075,89203362,131028106,170197241,190944162,2352071,135537300,22766,14929092,118812,33963503,241526,49509976,608356,80864423,1223440,112067889,1833991,129497489,767311,1705341,25990,808784,108475,1063991,190474,1192912,377066,1399925,565128,1560261,671985,1640283,410313,3845482,22121,1812669,84502,2616634,137130,2966563,237660,3407372,326197,3674579,371996,3777960,543048,10279794,10897,2429602,45178,4857632,78987,5871444,164261,7308111,275589,8515684,374594,9200913,367181,13862852,22998,10195905,83744,12013626,131614,12671802,219935,13377743,296067,13719533,334811,13822147,674939,18543326,8284,650714,49394,3423499,101515,6069613,246121,11281213,423824,15460823,552275,17475171,117497,9096323,16718,6229481,44060,8069476,59405,8489013,82715,8887840,100812,9062883,109978,9105065,23467405,9551746,14253866,16821922,20361917,22726193,23410167
48,TX,Texas,11669213,116692.00,583461.00,1166921.0,2917303.00,5834607.0,8751910.00,542780,216799,149881,83900,41726,20613,936119936,196245312,341560836,445220494,639032152,812753623,901233197,9876726,643914912,96727,65213858,511518,164507812,1035792,243526206,2588641,395970857,5176659,540053443,7734360,616925498,2728859,9178494,108708,5188302,456703,6513613,787605,7139331,1485941,8059639,2124901,8693998,2446698,8967230,1710565,21691719,94958,11577514,380757,15736711,622796,17512932,1065583,19726566,1418516,20985830,1577449,21419626,2596521,31456464,37882,4608121,165685,11150861,305067,14426193,678596,19173944,1190788,23128701,1729237,26289989,1574422,70120952,98511,52571949,377447,61606527,600973,64785775,1000600,68069646,1316503,69541958,1457863,69951027,2307267,70080041,31103,2679744,176644,12939980,368476,23164138,906918,44178535,1539228,60387746,1948480,66959463,612166,54481552,75912,38275324,215572,48883754,301092,51445051,433505,53638973,530356,54486564,577048,54611574,121994977,50811340,76108837,89772191,108070350,119003986,121762285
49,UT,Utah,1238947,12389.00,61947.00,123895.0,309737.00,619474.0,929210.00,483006,198875,143383,89718,48722,24967,99382945,18106814,32051705,42344961,63126679,83908926,95032511,1074115,68042079,10571,5438057,54722,14216813,110696,21909508,276870,38242466,550061,55046429,825054,64497981,375656,900946,11531,400494,49531,562356,87543,631886,175441,735455,273916,824440,329544,867762,185085,1583196,8767,755255,33748,1068100,55474,1203242,99035,1369805,142532,1493657,165644,1546309,209913,1968831,3168,203116,15217,565483,29136,762194,67534,1062841,121175,1421968,160736,1695334,186966,7395751,10004,5308329,37773,6377783,60655,6740269,103745,7101742,146106,7303030,168508,7366254,248824,7706441,2850,226128,16860,1187729,34930,2155058,86446,4288351,156438,6339442,204074,7248516,118056,8792509,8802,4994960,29233,7069909,43420,7694629,69545,8335107,94756,8692849,108296,8787671,10890200,4304334,6397364,7558688,9197591,10384282,10827873
50,VT,Vermont,301985,3020.00,15099.00,30199.0,75496.00,150993.0,226489.00,412592,188144,137139,84116,44361,22919,21381659,3027411,6131346,8524759,13340871,17987129,20493318,244736,13865167,2363,880236,12446,2666745,25481,4291075,64869,7746005,129931,11228305,195325,13260440,118088,191688,2834,58716,12717,92730,23396,110882,49576,140191,80364,166888,98603,179819,72950,766400,2507,272726,10383,444989,17873,525365,34203,634571,52241,715341,62408,745299,55831,869314,983,80981,4448,235280,8225,328827,18258,494098,31745,666678,41916,778447,60675,1601104,2551,919897,10013,1216172,16481,1333373,30132,1475281,44699,1559536,52727,1588332,82672,2180034,1110,84247,6116,412240,12087,701414,28538,1289232,49904,1800549,63919,2023827,19898,1049150,1692,622316,5356,858882,7777,930816,12090,1002490,16036,1039453,18175,1049150,2311009,685572,1159208,1443916,1863659,2184748,2300132
51,VA,Virginia,3694136,36941.00,184707.00,369414.0,923534.00,1847068.0,2770602.00,534077,246917,177506,102365,51199,24567,327758616,52173798,101179261,139458086,213156887,281145875,315099360,3116354,226507674,31214,20081347,163662,53277250,328477,81146769,811538,135931592,1606558,188222633,2413957,216563656,1218321,2470176,34859,943484,153669,1307982,281088,1533329,585452,1927885,917013,2248069,1088953,2380764,824622,7968107,31472,2894783,132881,4533000,233746,5448500,451680,6749391,660274,7569094,755679,7827924,628478,8562380,9972,1160751,44422,2975637,82544,3946168,182944,5338842,321792,6545922,445572,7440719,708296,18909853,31704,11698851,127667,14769716,218994,16162404,406354,17793041,577837,18618637,654439,18833965,968911,34819424,11953,1083566,71087,5898640,147191,10829713,358289,21220584,636773,30016802,812760,33290860,214178,19240731,22260,13215756,60529,16633813,86829,17622797,134312,18595651,177388,19098105,199658,19245439,42600132,13455794,22072812,27503371,35639847,40933517,42437158
53,WA,Washington,3389483,33895.00,169474.00,338948.0,847371.00,1694742.0,2542112.00,625720,258985,178926,104394,54841,27759,327436999,61060369,110992882,146890980,215233061,280218429,314286490,2809171,220123272,28688,22293150,148441,55689575,298649,82029399,739177,133294287,1450898,182292574,2178581,210048812,1205906,2851961,32188,1189378,145068,1637455,264410,1879237,545510,2253841,869523,2587991,1050759,2734815,761274,9547954,28226,4820825,122916,6351104,214199,7141839,400343,8243172,587033,9059171,681045,9358205,484618,9168484,7824,1025932,36078,2648608,68005,3716138,153081,5453503,268944,7151438,361566,8266283,706637,28790404,30021,18623559,128724,23524005,217976,25409550,388197,27357848,553808,28383943,636715,28678458,803506,27061342,8459,677734,45420,3419187,96655,6569305,258325,14298072,494911,22128177,647197,25322932,210838,18315447,18232,10418978,56157,14790011,83738,16204536,131290,17510727,173689,18155553,194730,18317492,44747033,15430349,24681748,29926661,37595857,42787027,44498424
54,WV,West Virginia,715608,7156.00,35780.00,71561.0,178902.00,357804.0,536706.00,319845,156296,119017,75259,38386,18817,42190278,4775683,10617769,15443974,25536229,35343193,40314149,581732,29839068,5902,1903253,30882,5812590,62916,9468979,157409,17160124,309890,24660436,457112,28541516,189268,259300,6192,69674,24135,109648,41013,133239,80906,175629,128012,218081,159122,241280,97736,606000,4967,202738,17269,332957,27388,393689,48826,486541,72294,558244,86016,587578,85477,1184114,2554,279530,8972,517640,15137,625764,30440,783713,50313,949391,64880,1060561,77510,1213273,4924,652706,16101,889802,24491,979988,41801,1102653,59538,1177233,69285,1204027,212163,5232339,2689,198029,14689,886690,28390,1473426,67231,2771367,121734,4086899,165599,4820402,25242,1568051,3610,1119135,8631,1411972,11474,1472253,16290,1529718,20850,1561398,23271,1568236,4066750,1120706,1962109,2489408,3309490,3897583,4056049
55,WI,Wisconsin,2631138,26311.00,131557.00,263114.0,657785.00,1315569.0,1973354.00,434346,186922,138170,87935,47441,24319,197504097,31660714,58829782,79681392,122688091,165727925,188929029,2169380,133925732,23120,11687373,115773,29520107,232903,44805468,578494,76694934,1142245,109040951,1706792,127722801,1048685,1619546,24959,607469,109358,842064,199091,970809,428161,1190873,711244,1410086,887189,1524511,615037,4440213,21655,1738991,86963,2602835,147842,3009193,286748,3613085,443599,4100344,535464,4304248,341412,4962755,6613,520803,28949,1487164,52367,2011908,114674,2915800,199066,3856318,260047,4434078,527825,10771064,21848,6289467,83581,8055027,137399,8786054,255442,9750684,386986,10425379,462961,10666145,752751,20744961,8613,643872,46267,3164750,92548,5569331,233230,11132691,437758,16612750,586349,19191505,141760,12462477,15321,9131264,43106,11207921,60149,11711904,89442,12173443,116453,12389668,130917,12458852,22558133,7821402,12088943,14584403,18345285,21373046,22445328
56,WY,Wyoming,251591,2516.00,12580.00,25159.0,62898.00,125796.0,188693.00,528153,194473,143808,93627,50716,24537,22472127,5648857,8498560,10566555,14892721,19318325,21620342,208080,12595312,1761,774772,9864,2126565,20798,3552030,53862,6781017,107284,10116558,160633,11943789,87634,376452,2419,247430,10422,290245,18166,304127,36754,328515,60146,353249,75016,366503,50570,1108575,2057,782811,7855,917175,12829,960745,23724,1018633,36583,1072850,44318,1095324,42047,571370,824,71555,3655,201732,6558,258688,13967,346630,24759,448694,32926,518318,48532,2860486,2224,2220011,8374,2536639,13364,2626229,23705,2740240,35678,2818820,42724,2847243,67706,2103846,889,85910,4915,383472,9834,644642,22951,1172186,41902,1725684,55405,1981494,23708,1785791,2032,1161952,6765,1578689,9522,1666654,14250,1748430,19082,1782069,21737,1791044,2866883,1324914,1780661,2035638,2435890,2749282,2854497
