statefips,state,state_name,total,top_01,top_05,top_10,top_25,top_50,top_75,agi_01,agi_05,agi_10,agi_25,agi_50,agi_75,total_agi,sum_agi_01,sum_agi_05,sum_agi_10,sum_agi_25,sum_agi_50,sum_agi_75,total_sal_num,total_sal_amt,num_sal_01,sum_sal_01,num_sal_05,sum_sal_05,num_sal_10,sum_sal_10,num_sal_25,sum_sal_25,num_sal_50,sum_sal_50,num_sal_75,sum_sal_75,total_int_num,total_int_amt,num_int_01,sum_int_01,num_int_05,sum_int_05,num_int_10,sum_int_10,num_int_25,sum_int_25,num_int_50,sum_int_50,num_int_75,sum_int_75,total_div_num,total_div_amt,num_div_01,sum_div_01,num_div_05,sum_div_05,num_div_10,sum_div_10,num_div_25,sum_div_25,num_div_50,sum_div_50,num_div_75,sum_div_75,total_businc_num,total_businc_amt,num_businc_01,sum_businc_01,num_businc_05,sum_businc_05,num_businc_10,sum_businc_10,num_businc_25,sum_businc_25,num_businc_50,sum_businc_50,num_businc_75,sum_businc_75,total_cpgain_num,total_cpgain_amt,num_cpgain_01,sum_cpgain_01,num_cpgain_05,sum_cpgain_05,num_cpgain_10,sum_cpgain_10,num_cpgain_25,sum_cpgain_25,num_cpgain_50,sum_cpgain_50,num_cpgain_75,sum_cpgain_75,total_ira_pension_num,total_ira_pension_amt,num_ira_pension_01,sum_ira_pension_01,num_ira_pension_05,sum_ira_pension_05,num_ira_pension_10,sum_ira_pension_10,num_ira_pension_25,sum_ira_pension_25,num_ira_pension_50,sum_ira_pension_50,num_ira_pension_75,sum_ira_pension_75,total_scorp_num,total_scorp_amt,num_scorp_01,sum_scorp_01,num_scorp_05,sum_scorp_05,num_scorp_10,sum_scorp_10,num_scorp_25,sum_scorp_25,num_scorp_50,sum_scorp_50,num_scorp_75,sum_scorp_75,total_tax,sum_tax_01,sum_tax_05,sum_tax_10,sum_tax_25,sum_tax_50,sum_tax_75
00,US,United States,141787679,1417877.00,7089384.00,14178768.0,35446920.00,70893840.0,106340759.00,545978,219840,153166,88126,44556,21997,11737993697,2406145830,4191154945,5472599388,7906742864,10154390943,11303969805,116872013,7786684839,1190083,856091566,6152219,2034044653,12371202,2961513632,30695846,4764373661,61074067,6507616796,91595757,7460729130,44778776,121552469,1338973,62584090,5871552,79586802,10581236,88275400,21612644,102082129,33206015,112911473,39360947,117766999,27339004,311842611,1180499,152848860,4838688,211363701,8167321,238308004,14977324,274498477,21391156,297949259,24589282,306380824,25493158,367351817,394685,55293043,1783721,127410533,3283557,165074457,7219123,222437871,12558819,276345049,17476011,315930026,24155037,905020287,1216264,651002029,4773778,773683447,7809095,818975273,13746661,869109802,19209993,894680585,21892849,902132397,34100270,1071036422,399499,35696784,2283014,177798147,4794735,326432746,12133278,642860108,21583556,905953843,27880205,1014508431,8603857,735253593,872919,484834532,2556517,634562932,3661432,674821011,5542225,712408834,7143766,730681580,7979914,735541303,1536802382,613957666,923826418,1093823921,1332425651,1489170395,1532820044
01,AL,Alabama,1912781,19128.00,95639.00,191278.0,478195.00,956391.0,1434586.00,394842,176514,128965,76455,38260,19121,124972553,19115602,37427821,51683500,79969847,106129417,119485851,1584759,86094378,16235,6885702,83260,18799492,167576,29273185,414189,50336171,823262,70828726,1229484,81961793,519040,962147,17516,362670,73300,522367,129976,605602,260045,750759,389538,863848,460432,918836,262554,2159786,14472,893597,54373,1366497,87903,1575166,153607,1870681,210900,2052307,239391,2116836,344302,3435800,6490,626544,25721,1355053,45193,1658802,97821,2172502,169650,2594173,235500,2805344,225667,5409994,14795,3528250,51877,4423050,81205,4757927,136939,5143092,183985,5333709,206421,5386373,492241,14369664,6494,553370,39187,2764616,77963,4700272,183724,8717158,315651,12054542,411564,13644013,92183,7751532,12693,5654306,32707,7003125,44455,7316104,63762,7607176,79429,7741354,86736,7765067,13153075,4465975,7221850,8873394,11238072,12759372,13126748
02,AK,Alaska,318228,3182.00,15911.00,31823.0,79557.00,159114.0,238671.00,444471,210294,159088,98501,52056,25722,25225022,2981184,6529147,9406300,15316084,21099511,24116386,270219,17211946,2654,1056876,13728,3222341,27830,5269215,69411,9558023,137910,13920934,208515,16378829,87186,164360,2919,50535,12022,81465,20855,96855,41851,123290,65557,148060,77843,157428,75703,446209,2430,141769,9650,229756,16414,273224,32270,340578,51264,397587,63674,424494,54257,885625,968,129497,4374,291730,8053,383037,18281,549375,31921,712418,42297,823499,49774,1026611,2480,511447,9169,741908,14915,831417,26999,941454,39365,1002885,45475,1020100,74051,2881483,1112,93662,6766,555221,13294,960104,30842,1820295,52452,2552567,64483,2787842,18351,1382174,2032,878918,5477,1167577,7643,1244473,11609,1329654,15259,1374358,17090,1383059,2966928,739220,1330435,1722088,2348577,2804109,2947901
04,AZ,Arizona,2901531,29015.00,145077.00,290153.0,725383.00,1450766.0,2176148.00,459757,198158,140562,81972,41679,21805,213169058,36792422,68793862,92676467,138856922,181622305,204135231,2344045,139154779,23927,12735070,121711,32713647,243302,48948146,600154,81303729,1206879,113812301,1830439,132523526,751859,1955265,26373,823495,109357,1153495,190280,1322319,372832,1592997,555789,1791285,651858,1878637,506734,5024103,21983,2014863,89587,3060660,151089,3565942,277995,4277051,393396,4731565,449707,4896823,485795,6343572,8296,894504,35846,1980232,66138,2607961,144173,3623475,247752,4632431,336787,5367731,480423,15048690,23739,10122768,92828,12487950,152298,13406632,270952,14404747,376772,14867002,428141,14999029,742797,24064099,9051,885892,53866,4429060,112861,7981877,279851,15212448,480668,20688862,606264,22815007,163402,12343720,17880,7857869,50573,10440795,72024,11199767,108180,11938513,137351,12280422,151301,12355101,24813377,8924031,14081540,17044985,21247895,23964448,24732042
05,AR,Arkansas,1150629,11506.00,57531.00,115063.0,287657.00,575315.0,862972.00,375940,167995,121661,72294,36985,19015,76722038,15862508,26477531,34589764,50640891,65673757,73537786,958585,49475808,10015,4139926,50134,11072611,100078,16885698,247677,28683915,496070,40537087,744644,47106045,295893,695324,10370,341383,43348,436367,75504,485832,147917,570138,219522,635408,259311,668186,162877,4464272,8339,3774760,32655,4018546,52873,4133094,93009,4292819,128452,4394703,147189,4435909,198365,2029454,3593,240686,14766,551932,26909,718270,58924,1028254,101469,1360334,137158,1632011,146764,5409240,8618,4170462,31850,4719858,50243,4936935,85798,5199509,116663,5342899,132647,5389074,278480,7471328,3389,269423,20350,1367602,42221,2430648,104087,4603945,178795,6304140,230147,7066493,65094,3834196,7186,2349724,20864,3238680,29390,3484951,43545,3714439,55002,3815858,60496,3835151,8119529,3373871,4935669,5828028,7080511,7889361,8102874
06,CA,California,16953678,169537.00,847684.00,1695368.0,4238420.00,8476839.0,12715259.00,680687,266020,179192,96717,47181,23276,1644358399,379552281,642762336,825017456,1155088907,1444465856,1589228146,13948328,1083194959,140083,141333090,732343,316883364,1472899,449315592,3644019,694871692,7269282,922097568,10952078,1042808658,6082670,16508657,162659,8252132,748239,10798836,1404951,12097594,3042030,14086048,4711686,15500624,5474831,16070601,3183254,43558874,141608,22046365,607044,29935345,1032827,33749638,1868293,38821334,2580859,41874970,2900418,42893884,3376240,60266186,42241,7780876,204053,18128804,391436,24302676,891708,34066969,1577957,43560375,2239228,51499783,3057352,151601581,148167,112061117,620390,133040936,1032048,140319239,1815087,147406498,2482290,150496361,2791693,151299562,3240637,120854077,41117,3781394,224293,18770775,480303,36792731,1242316,76352640,2173981,105973441,2718661,115907209,1029648,107979520,98917,68916698,305659,92496736,447491,98977596,680459,104773696,865948,107360358,958676,108015156,240933417,100107458,150376498,176938035,213378201,234725150,240319798
08,CO,Colorado,2562022,25620.00,128101.00,256202.0,640506.00,1281011.0,1921517.00,577452,241394,169078,97968,50857,25862,230073663,42160672,77001399,102504018,151204837,196872464,220888711,2137683,149781689,21068,13156901,110591,34667703,223178,52556960,555176,88129878,1102817,122969553,1660032,142781323,890963,2496727,24248,1299706,107765,1647024,195945,1822102,407415,2100742,643684,2323282,776648,2420224,580210,5854434,21027,2325039,89976,3513247,158189,4114562,302935,4950254,445426,5510257,518524,5719266,487605,7603175,7321,759982,34115,1938287,64595,2739921,146567,4134980,257395,5564507,350151,6619669,537476,20895598,22339,13731858,92235,17111539,157464,18441779,290053,19852548,417711,20582299,482417,20803386,588821,19929657,6926,520459,39831,2860034,83900,5509262,213130,11581137,383062,16940470,488624,18931905,224639,16006176,17700,8360713,57531,12436037,86700,13794706,138912,15153719,184563,15822613,207290,16007066,30048062,10492047,16619628,20127901,25214812,28732263,29897178
09,CT,Connecticut,1618799,16188.00,80940.00,161880.0,404700.00,809400.0,1214099.00,818755,284571,189797,107054,54282,25566,179244153,45978142,74178836,92615634,126713105,157952461,173656399,1325415,115628816,13590,19063396,70111,37647519,141309,50790356,351391,75698239,690966,98874698,1036036,111534533,587635,3315704,15715,2377618,70451,2673740,127989,2807271,267539,3014378,430549,3190057,517530,3263532,427112,6485208,14929,3345134,64432,4552828,112750,5079095,217913,5761818,328110,6227806,383441,6391877,278921,6709208,4375,1007233,22500,2571349,41948,3412979,91419,4589958,152687,5528282,204035,6153563,352737,17352721,14991,13035052,62144,15176921,104639,15939899,190445,16760013,277362,17190063,320132,17311672,429558,14780070,4344,407837,25698,2123733,55977,4060744,146162,8448717,271370,12522288,350396,14016833,98535,8587462,10296,4700127,30905,7131408,43854,7772404,64782,8280522,82799,8512395,92035,8593300,28679838,12686330,18438205,21221988,25163342,27824940,28600484
10,DE,Delaware,435210,4352.00,21761.00,43521.0,108803.00,217605.0,326408.00,438810,202834,149872,91036,46932,23381,33154367,4768543,9509190,13254617,20789263,28011737,31730826,353783,21787572,3616,1803656,18694,4842726,37362,7433628,91471,12592411,181005,17774258,273132,20736874,139029,242147,4042,67075,17360,107807,31198,131713,64666,175712,102455,213585,122703,230676,91963,853136,3550,359232,14764,523653,25131,603624,48071,723044,71372,807215,82853,836118,58735,758287,1079,60359,4724,217248,8567,301981,18770,431462,31852,558866,42558,652175,75362,1600216,3557,974080,13787,1243277,22718,1354602,41353,1496435,59717,1573546,68560,1593268,132450,4510581,1581,140061,9360,753108,18996,1353680,47646,2687995,85367,3830027,109754,4283239,22476,1753042,2418,1201639,6435,1515455,8963,1592591,13840,1682859,18404,1737049,20802,1754039,3863538,1143778,1919910,2407637,3154593,3695745,3847251
11,DC,District of Columbia,335549,3355.00,16777.00,33555.0,83887.00,167775.0,251662.00,838692,317424,209363,107301,56546,27696,37373177,8182504,14423087,18700047,26094289,32642724,36122129,289914,25427868,2446,2540835,14001,6516176,28972,9761576,73957,15715961,149455,21340161,224474,24398687,106679,312102,3249,179022,14786,224916,27283,247591,56431,282026,84937,300001,98538,307184,81829,1136867,3040,508653,13361,777085,23972,895062,46911,1042079,67956,1105830,77005,1126713,63751,1444126,1068,385584,4896,717825,8996,906641,18892,1134239,31395,1268238,43772,1335482,71430,2904296,3067,1899305,12906,2421541,22466,2611947,42607,2803119,59941,2876839,67458,2897808,55790,2418414,1101,126819,5192,528994,9730,871222,21105,1499511,34807,2029488,46258,2308405,16685,2933023,2368,2063582,6451,2731748,8932,2838479,12498,2911452,14802,2928163,15886,2933814,6317121,2267434,3591233,4311484,5367628,6095617,6296013
12,FL,Florida,9521050,95211.00,476053.00,952105.0,2380263.00,4760525.0,7140788.00,569651,203827,138178,76165,37440,18839,767739125,208565152,324960694,403587037,548356356,676382493,741760218,7466628,433747381,73683,51764837,376316,115587087,756623,165271184,1892252,262404563,3876252,360434434,5886979,415251616,2486467,12310396,89110,7196667,374811,9052890,655086,9852655,1280482,10990505,1865057,11724283,2178737,12050334,1717778,30780858,78054,16778626,313902,22837102,528435,25229614,967960,28187286,1346327,29809481,1541444,30387620,2111123,20585652,25514,3714699,110593,7349136,203586,9091007,454483,11816787,847308,14321864,1314676,16257721,1554583,91161667,82256,72038003,320031,82451862,522717,85835475,914687,89241989,1240809,90667266,1403352,91042519,2327700,80372904,33755,4007291,190880,17924706,395990,31095137,959743,55560145,1570616,71286223,1956759,77316924,813355,65572208,69448,42684787,216089,55600628,312581,59136895,482780,62777003,640033,64833968,735902,65486976,105703254,52551446,72560235,82562333,95838791,103658719,105569420
13,GA,Georgia,4240921,42409.00,212046.00,424092.0,1060230.00,2120461.0,3180691.00,496599,205702,143079,80147,39246,19211,313785946,58796258,108251823,144111614,211461463,271612211,301783303,3550636,217479898,36839,22174952,189044,56126628,377568,82591070,929790,133297540,1852484,181877619,2771685,208119978,1014295,2292909,39168,1025071,163269,1396919,283401,1594875,547685,1906835,790764,2126067,912456,2222173,664782,7021561,34555,3285107,138828,4759921,229773,5420133,404717,6275624,547478,6764538,613338,6926121,991845,7438419,11590,1215836,53214,2711039,100350,3465872,232177,4549773,432308,5368069,651665,5866558,580773,19768075,35820,14045670,135799,16886780,216973,17973788,366016,19093023,484286,19590076,537932,19721745,941293,28410213,11282,872184,66151,4687567,142409,8934977,363702,17859611,626016,24570164,798450,27209289,259741,22248790,27335,14566591,79680,19139176,113939,20366005,171803,21550491,219265,22120846,243554,22266660,37446972,13872451,22073730,26623685,32825082,36539852,37388395
15,HI,Hawaii,649180,6492.00,32459.00,64918.0,162295.00,324590.0,486885.00,414150,194185,144537,88360,47038,24378,47354038,6036404,12764322,18142825,29032317,39572748,45270038,524729,31565457,5118,1933084,26577,5809976,54075,9450369,135630,17194813,272553,25229686,414491,30022046,235897,349311,6013,119446,26858,173372,49518,205215,105280,261827,168771,309696,203545,330535,135171,990369,4935,353525,20567,556904,35982,658216,69264,810315,103526,921010,120420,961442,107208,1886393,2085,325885,9005,731641,16235,921313,35141,1229508,59772,1511115,78730,1689613,112925,2684492,5103,1558140,19852,2117645,33179,2303471,60556,2519552,87737,2635107,101335,2668480,164571,5673569,2535,257335,14092,1149567,27481,1961405,63273,3585339,106924,4889424,132904,5375285,32263,1934565,3536,1151150,9795,1589239,13752,1723296,20437,1855382,26301,1921953,29355,1936977,5210081,1435628,2478312,3135447,4163242,4923990,5180018
16,ID,Idaho,723795,7238.00,36190.00,72380.0,180949.00,361898.0,542846.00,422261,180694,131071,80820,43091,22188,50939194,8243030,15539586,21033360,32072718,42912196,48684387,591081,32403378,5881,2179949,30153,6301787,60862,9994920,152177,17883211,304606,26068274,458271,30707809,213672,501426,6650,178117,28161,268320,49280,312579,97807,384703,150555,443818,182579,474259,122440,1003239,5023,399605,19743,595590,33149,689480,61374,823817,90119,928047,106797,971833,124451,1555713,1906,184405,8920,434059,16991,582824,39319,841943,71066,1156612,95401,1380051,125862,3544153,5812,2035821,22641,2726107,37041,2993039,65684,3293876,94182,3461012,110431,3516613,182392,5322492,2073,180545,12184,872990,25376,1585647,62622,3082960,111336,4387646,145915,4985999,59674,4567618,4946,2729454,15798,3748098,22990,4051877,35901,4352638,48320,4521780,54909,4572351,5200374,1853574,2923328,3532177,4383190,4974815,5176554
17,IL,Illinois,5595007,55950.00,279750.00,559501.0,1398752.00,2797504.0,4196255.00,572933,228565,160541,93456,47951,23356,492324840,103086641,176588395,229347454,330614497,425586940,474114883,4641099,325797743,47434,36396054,245594,86210149,492807,124618772,1221011,199421819,2421880,272493771,3629224,312382698,1822931,6070812,53155,3607428,230498,4289838,413016,4640665,853959,5219868,1336203,5694154,1601797,5909086,1241258,14388896,49219,7147154,206330,9804338,353665,11011226,664511,12667200,966785,13763628,1117793,14151742,906764,12524933,14367,2087152,62740,4395960,114166,5565847,251235,7382520,436452,9082346,611293,10513065,1053229,39608756,49439,29573643,197485,34278275,327570,36027305,589428,38055765,836243,39132372,956967,39483280,1419308,47534762,15854,1501337,91143,7552095,192296,14170723,493222,28481060,890900,40402394,1157729,45122472,379725,27988431,35845,17904610,103686,23631599,148608,25169380,228189,26665950,302466,27616264,348644,27967599,67205670,26894934,40104665,47360245,57803140,65000143,67013422
18,IN,Indiana,2883454,28835.00,144173.00,288345.0,720864.00,1441727.0,2162591.00,399625,176199,130194,80819,42388,21177,196127830,29334047,57097360,78644738,122593544,165319577,187871705,2392623,138786270,25403,11098144,128384,29872300,258865,46335834,644059,80449545,1275881,114402590,1896712,133011202,814849,1255871,26447,459214,108198,657407,187391,761622,371173,939095,570580,1098927,690125,1181875,493814,3502644,22657,1437960,86337,2141002,140594,2456264,254129,2921774,368074,3263996,432481,3404841,401476,5012557,8003,657170,33542,1572248,60334,2044947,132154,2906248,224256,3757270,295313,4335717,421783,8916478,23008,5574516,82366,7021144,129698,7580923,226142,8298072,321416,8717794,373666,8860305,779436,18459867,8742,607336,49636,3071279,99618,5243099,242191,9953929,436161,14425961,586021,16813833,151381,12426661,18151,8649907,49436,10989457,68495,11565688,100970,12121062,128529,12386098,141920,12438241,21016677,7019166,11223014,13708177,17386231,20103326,20948531
19,IA,Iowa,1336787,13368.00,66839.00,133679.0,334197.00,668394.0,1002590.00,402964,184729,137761,88469,48425,25432,98158335,13345361,26683236,37203332,59078479,81229980,93352889,1116834,66385212,11680,4949519,58196,13147974,117140,20593067,292690,36568615,578829,53059673,866359,62814444,535079,941464,12700,260274,56618,402940,103682,488635,222844,644662,370016,800849,460350,879610,302412,1876596,10765,590708,43918,977951,75130,1174410,143818,1471994,221557,1716693,265932,1813547,198523,2452203,3773,261112,15942,677080,29115,913234,65350,1355253,116266,1845201,151822,2147997,263646,4993663,10944,2652188,42381,3573222,70107,3952887,129459,4455810,195936,4805910,233043,4931659,376326,9411270,4461,303390,24469,1473779,48770,2566698,120569,5019810,225278,7479496,299944,8676131,96159,5659195,8536,3544327,26098,4750828,37988,5101541,59580,5452535,79439,5620977,88968,5662448,10335503,3195819,5200695,6421626,8255012,9719292,10265660
20,KS,Kansas,1221572,12216.00,61079.00,122157.0,305393.00,610786.0,916179.00,457566,195014,141358,86494,45510,23047,92829541,16059841,29330967,39331951,59335371,78731572,88976565,1011368,61530502,10395,5205905,52850,13587358,106459,20688633,265931,35446894,528447,50262213,791974,58655479,434535,869349,11540,379370,50498,496351,91284,563182,190366,677369,303854,777455,369969,825944,254050,2339894,10021,1136328,40300,1538653,68271,1729117,128484,2009066,191052,2214224,224534,2289099,192350,2755717,4203,365858,17395,923129,31066,1223805,67441,1706422,114791,2187438,149075,2489776,231028,5993265,10280,3869996,39744,4724202,65636,5086829,120162,5563087,176189,5855984,205608,5949276,333655,8779468,3758,267914,21697,1392718,45000,2535448,111219,4938359,200924,7144963,263025,8160643,81603,6387071,8031,4255958,24300,5586808,34939,5937252,53215,6234731,68828,6373858,76202,6403255,10680519,3954397,6053700,7263760,8991981,10232383,10637575
21,KY,Kentucky,1768471,17685.00,88424.00,176847.0,442118.00,884236.0,1326353.00,377039,168243,123991,75845,39664,20091,115346834,18529151,34745358,47345314,72861082,97361166,110334648,1479682,78800070,15248,6305321,77060,16893956,155498,26127554,387442,45243872,769962,64411323,1149369,75096245,454076,733010,15743,254040,64490,371917,111601,436969,218754,547854,331171,643852,397267,693603,263403,2582041,13417,1325151,51044,1802127,82449,2003204,145465,2280798,205662,2464976,237613,2536589,276595,3372539,5921,493904,23426,1123143,41175,1417234,87886,1915009,147508,2419907,195582,2808336,227808,7605195,13627,5640114,48441,6506021,75535,6842931,128999,7256725,179557,7487985,206158,7563963,463981,12861792,5695,435361,33714,2256438,68704,3954701,167348,7540852,292799,10659313,382553,12132147,91306,5631245,10635,3579464,29849,4838750,41120,5143374,60218,5456329,76303,5602328,84613,5640238,12111961,4362411,6763898,8167225,10198754,11648132,12077922
22,LA,Louisiana,1831022,18310.00,91551.00,183102.0,457756.00,915511.0,1373267.00,430621,182159,132356,76563,37410,18270,122199071,20054469,38553145,52598835,80091870,104849291,117166675,1534988,83371714,14914,5975136,78741,17560492,161392,28184316,403601,49284789,799993,69046643,1193575,79570162,464646,915484,16917,389543,70122,548468,121453,619776,238565,745140,356376,842724,417265,885631,259558,2293451,14299,1001288,53318,1498971,84987,1700223,150125,1999664,209091,2187161,237667,2253472,383368,3885821,6982,813967,27568,1721136,48602,2076796,105282,2604946,182983,2998688,258410,3164217,227331,5825571,14580,3795058,51564,4775673,79905,5105326,136308,5534659,185893,5742451,209173,5804761,418441,12185975,5759,466784,33679,2314644,65956,3858107,157400,7283949,274784,10320792,355842,11644223,107756,9015348,13154,6328930,37113,8127110,51041,8531895,74807,8867442,93197,9008882,101714,9026499,13729425,4952609,7840749,9516098,11906748,13391398,13710544
23,ME,Maine,615378,6154.00,30769.00,61538.0,153845.00,307689.0,461534.00,396647,177784,129545,79797,42481,22383,41086813,5356528,11357458,15962394,25248677,34303501,39197670,500960,27428852,5032,1980704,25783,5585103,52446,8772107,132371,15474797,263595,22218066,393773,26097905,241199,325523,5862,97397,26743,154763,49241,186177,104264,237420,168044,283272,205675,305499,121307,1070655,4712,354506,18848,598775,31497,714861,58899,876935,88321,993262,105236,1038178,107390,1647982,1773,164353,7968,428070,14667,591162,32972,887976,58524,1218821,78944,1452522,103647,2419779,4876,1309220,18567,1801562,30063,1994694,53634,2219297,77944,2357189,91301,2401238,166975,4672495,2105,170473,11786,836740,23553,1418364,56894,2651693,101412,3812869,132630,4361343,37244,1972939,3414,1110447,10158,1587293,14772,1735972,22871,1878938,30324,1954915,34187,1974067,4277348,1231020,2143693,2677176,3460600,4051201,4255532
24,MD,Maryland,2794508,27945.00,139725.00,279451.0,698627.00,1397254.0,2095881.00,537046,242113,176467,103667,52555,24808,247165668,38231290,74801839,103358930,159437351,211797046,238098040,2299369,173140744,23784,14592561,123581,39475342,249315,61010607,616397,103737193,1212395,144308479,1817744,166293681,1031781,1715528,26912,632204,123595,914189,231078,1070811,498856,1346068,792720,1571095,935535,1658905,558884,5221060,23635,1959436,97363,3106092,166348,3659774,312391,4454674,449794,4964622,513280,5131737,570972,6943956,8365,1154674,37365,2709790,68641,3456256,152806,4467442,267979,5259373,373972,5885081,481583,12709579,23810,8012705,92908,10151710,154199,11001402,278865,12016811,393112,12525248,445158,12660909,689169,25536290,9073,839192,52551,4298771,105707,7603029,254707,14973569,456815,21889187,584252,24460853,148105,14205573,17240,10021892,45258,12528058,63069,13172831,94673,13790848,123053,14118507,138206,14209767,32263405,9842962,16261539,20282930,26584904,30934525,32146074
25,MA,Massachusetts,3174445,31744.00,158722.00,317445.0,793611.00,1587223.0,2380834.00,739998,287128,195224,109361,55740,27332,345591094,80628261,133799026,170768760,239342511,301819707,334024099,2649729,226881940,26707,28283277,140738,64347502,284982,92271671,710632,144714754,1394194,192117896,2082141,218382926,1284073,3760185,30811,1999953,141418,2489092,262027,2737420,560451,3138537,916462,3488393,1117717,3642424,801499,10141436,28555,4716661,122875,6727295,214812,7649770,409597,8856093,613409,9678938,716581,9969273,541193,12101303,9104,1707203,43748,4158316,80423,5606525,176552,7812296,298592,9716335,399348,10977266,679676,35178555,29039,25793024,121957,30416555,207000,32127662,373865,33930918,537927,34836656,617610,35089348,766458,25035029,8714,753118,44511,3350445,91219,6110612,239250,13111385,461466,20549707,607805,23490232,181102,22305025,19202,15289672,55524,19526215,79607,20672397,119689,21684069,153238,22172190,169616,22303800,53460697,21488383,32090457,37751873,45913795,51496195,53261608
26,MI,Michigan,4382572,43826.00,219129.00,438257.0,1095643.00,2191286.0,3286929.00,435053,190597,139144,84025,42500,20181,319442207,56141801,101959541,137211291,207532693,274216884,307671283,3488600,212955107,38418,20233283,193910,51433455,388497,77601590,956308,129271038,1882398,179093262,2788963,205082925,1433070,2779192,40617,1224690,171795,1619265,305442,1826219,628721,2197369,991904,2509557,1209952,2666411,849280,6980323,35388,3029096,137779,4349778,228951,4955055,428609,5886688,634875,6556387,750377,6819934,696198,8778068,11723,1295221,51069,2985339,92836,3825982,204984,5250600,358241,6640349,494541,7549607,745414,19202485,35891,13476948,132991,15899977,215609,16890715,390988,18181620,567787,18922523,663917,19140934,1268704,35335666,13293,1114709,75176,5424401,153125,9604340,391829,19226352,726601,28264446,990233,32910197,230350,18655657,26594,13245913,71591,16455575,98838,17287990,147251,18108046,191023,18542006,214839,18666420,37598184,13673365,20973996,25312042,31713180,36260706,37516081
27,MN,Minnesota,2545939,25459.00,127297.00,254594.0,636485.00,1272970.0,1909454.00,524940,222531,159457,97738,52313,27041,218178429,35788864,67454064,91054234,137973651,184106171,208869957,2122813,150855891,22344,14260696,114597,35971619,229750,53685587,566624,89122356,1110801,123777942,1662571,143954249,912751,1765628,24000,734352,104635,991555,187022,1123668,390490,1352613,639261,1573695,783884,1679714,608117,5151658,21215,2277865,90272,3213952,155153,3652850,296407,4299758,452778,4811566,536645,5011863,388327,5749737,6605,574266,29278,1590442,54880,2205525,125090,3252153,221949,4373229,294251,5092009,534225,12343034,21562,7398402,87358,9400672,145344,10251337,267159,11313400,401178,12004731,472908,12238080,665743,19048240,7139,518809,38210,2494976,77637,4556232,201839,9753635,391931,15256829,520755,17626355,178241,14184027,15084,8842111,46651,11827131,69016,12737509,109646,13626736,146735,14071255,165016,14178334,27101996,9110847,14496319,17606471,22197067,25694103,26944691
28,MS,Mississippi,1142002,11420.00,57100.00,114200.0,285501.00,571001.0,856502.00,330119,154076,113929,66278,33241,17379,63964793,8676406,18056043,25536227,40366199,53843712,60899164,960652,45128803,9494,3204368,48712,9193750,98346,14607547,245166,25649012,493289,36622317,743262,42812537,247903,423892,10080,159072,40345,230408,69802,268654,135207,338064,193504,385018,222860,407135,122541,891970,8144,370863,28327,573776,44882,660711,76357,782421,101128,851258,112754,875183,227606,1955566,4309,418472,16646,811643,29211,981367,61842,1251307,106231,1413052,149912,1479759,107618,2244185,8174,1399862,27055,1793309,41554,1942062,68854,2123498,89512,2207196,99183,2231499,266739,7487192,3972,337215,23392,1614093,46592,2725727,109117,4886194,180115,6487377,227872,7172251,50412,3500327,7196,2468533,18619,3142976,25198,3299464,36031,3446047,43893,3497493,47527,3510002,5964858,1966941,3266752,4043525,5157920,5812244,5956019
29,MO,Missouri,2586366,25864.00,129318.00,258637.0,646592.00,1293183.0,1939775.00,429501,184534,133418,80694,41744,20940,184167622,32698316,59125974,79144281,118949571,156986914,176808461,2115491,123489630,22031,11793461,112294,29136767,225669,43608939,559509,72812633,1110892,101871578,1663629,118081631,823954,1515440,24056,606524,102197,829442,182955,948619,375919,1163835,586517,1348603,707810,1439506,506215,6247747,21189,3795178,83577,4645302,140457,5034677,262195,5601644,384312,5999876,449659,6149459,406213,5190478,7685,718108,32171,1719214,57922,2223170,127933,3071420,223271,3965654,300832,4564962,449164,10332160,21535,6419394,81014,8053988,132462,8722671,239226,9584323,346031,10091688,401918,10257511,706517,19561953,8319,670411,47567,3267718,97167,5805336,240675,11316528,430969,16173564,564445,18344674,142116,11029266,15088,7821868,43347,9767596,61305,10264767,92232,10748876,119034,10975924,132362,11039879,21112403,8037659,12155430,14528387,17929630,20335524,21051885
30,MT,Montana,469381,4694.00,23469.00,46938.0,117345.00,234691.0,352036.00,425321,179579,131379,81516,41979,20987,32486153,5061423,9805080,13353117,20572272,27550995,31149907,375226,19548951,3723,1252915,18937,3631177,38749,5912782,97520,10812323,194308,15772513,292678,18587616,166964,366805,4377,121219,19288,183144,34141,215581,70608,270027,114724,320733,141360,345707,102505,849298,3447,279404,14318,461334,24513,544865,47537,671373,73105,768686,87608,808425,81920,1151146,1365,189140,6380,368300,11691,464266,26741,656453,47728,888844,63380,1046369,97614,2577808,3781,1344725,15135,1868073,25350,2068095,47443,2324720,71774,2494083,85500,2549198,128335,3668235,1536,129595,9033,633192,18215,1102167,44971,2135564,80930,3067042,104804,3461937,45967,2709113,3332,1507227,11403,2195533,16886,2395197,27024,2590998,37113,2697275,42065,2714714,3454849,1171825,1875945,2276909,2869750,3302634,3442292
