statefips,state,state_name,total,top_01,top_05,top_10,top_25,top_50,top_75,agi_01,agi_05,agi_10,agi_25,agi_50,agi_75,total_agi,sum_agi_01,sum_agi_05,sum_agi_10,sum_agi_25,sum_agi_50,sum_agi_75,total_sal_num,total_sal_amt,num_sal_01,sum_sal_01,num_sal_05,sum_sal_05,num_sal_10,sum_sal_10,num_sal_25,sum_sal_25,num_sal_50,sum_sal_50,num_sal_75,sum_sal_75,total_int_num,total_int_amt,num_int_01,sum_int_01,num_int_05,sum_int_05,num_int_10,sum_int_10,num_int_25,sum_int_25,num_int_50,sum_int_50,num_int_75,sum_int_75,total_div_num,total_div_amt,num_div_01,sum_div_01,num_div_05,sum_div_05,num_div_10,sum_div_10,num_div_25,sum_div_25,num_div_50,sum_div_50,num_div_75,sum_div_75,total_businc_num,total_businc_amt,num_businc_01,sum_businc_01,num_businc_05,sum_businc_05,num_businc_10,sum_businc_10,num_businc_25,sum_businc_25,num_businc_50,sum_businc_50,num_businc_75,sum_businc_75,total_cpgain_num,total_cpgain_amt,num_cpgain_01,sum_cpgain_01,num_cpgain_05,sum_cpgain_05,num_cpgain_10,sum_cpgain_10,num_cpgain_25,sum_cpgain_25,num_cpgain_50,sum_cpgain_50,num_cpgain_75,sum_cpgain_75,total_iradist_num,total_iradist_amt,num_iradist_01,sum_iradist_01,num_iradist_05,sum_iradist_05,num_iradist_10,sum_iradist_10,num_iradist_25,sum_iradist_25,num_iradist_50,sum_iradist_50,num_iradist_75,sum_iradist_75,total_pension_num,total_pension_amt,num_pension_01,sum_pension_01,num_pension_05,sum_pension_05,num_pension_10,sum_pension_10,num_pension_25,sum_pension_25,num_pension_50,sum_pension_50,num_pension_75,sum_pension_75,total_scorp_num,total_scorp_amt,num_scorp_01,sum_scorp_01,num_scorp_05,sum_scorp_05,num_scorp_10,sum_scorp_10,num_scorp_25,sum_scorp_25,num_scorp_50,sum_scorp_50,num_scorp_75,sum_scorp_75,total_tax,sum_tax_01,sum_tax_05,sum_tax_10,sum_tax_25,sum_tax_50,sum_tax_75
00,US,United States,151817902,1518179.00,7590895.00,15181790.0,37954476.00,75908951.0,113863427.00,561351,224069,154684,87946,44119,21679,12759477325,2750493942,4708307838,6101152331,8721194693,11109514013,12331236682,122788223,8306558325,1293322,981517130,6695657,2320639925,13406494,3344963336,33010308,5276016140,65527498,7091602837,97858091,8023714023,46927907,119167705,1411905,55839378,6120179,72909056,10962970,82119364,22328384,97369900,34115144,109256555,40500122,114682303,29683765,314711396,1276422,153838803,5235479,210379681,8794281,237191061,16109646,274697158,22990979,299139113,26473792,308281201,26580786,362244547,401840,57821530,1813061,130612642,3329104,168669633,7334378,227834837,12840481,283016547,18348271,321925127,27609477,1096589814,1317793,814683250,5220371,957959745,8555751,1007517967,15228952,1060715281,21487292,1086263424,24717330,1093695462,12994910,281329580,176176,19604429,1032193,69971944,2118330,112974291,5219730,192232086,8708123,245966704,10819089,267867140,30004103,816499431,234219,16713007,1628223,102572398,3783079,212532872,10547814,470284807,19224598,687572487,24810536,773547084,8492015,807790191,873263,569492455,2515947,719355990,3589168,757749602,5450898,792634391,7025304,807701455,7850889,810176742,1721566702,715999692,1061409779,1247732590,1505227575,1671599038,1717723934
01,AL,Alabama,2070175,20702.00,103509.00,207018.0,517544.00,1035088.0,1552631.00,404560.3,181535,131971,76623,38003,19246,138244177,22933041,43323135,59154625,90205082,118382751,132865349,1696135,93537389,17807,7933867,91536,21664580,183502,33407131,450402,56412757,894289,78400464,1334914,89779139,556253,989069,18665,326853,76681,489055,135872,580329,273307,747490,406668,876647,480229,937851,282005,2384647,15724,1069838,57761,1527740,93311,1746193,164236,2066104,224968,2260499,254764,2331672,364410,3636140,6844,690705,27176,1493115,48013,1843650,104488,2419968,179782,2877419,255760,3127848,256763,7189747,16212,5094054,56379,6130910,88745,6499142,153047,6921678,206678,7111234,232357,7166158,159145,3107533,2874,248915,15592,885992,29760,1351463,68088,2181319,108699,2721679,133664,2955325,462032,12075341,4234,315119,32690,1987897,69805,3640425,175150,7241055,303724,10172318,391133,11478292,91848,8772369,13249,6752421,33068,8101954,44699,8416349,64548,8693510,79517,8794627,86186,8800654,15110439,5462121,8556192,10399540,13018348,14674789,15082482
02,AK,Alaska,332543,3325.00,16627.00,33254.0,83136.00,166272.0,249407.00,466905.12,215395.1,160856.8,98006,50727,24547,26445925,3324241,7181248,10237113,16431841,22392816,25449501,274757,17869000,2852,1205501,14413,3642208,29124,5823534,72130,10302330,143376,14780067,216967,17189734,91391,180354,2997,54646,12256,86847,21257,103971,42801,134699,67405,162006,80223,172900,72532,424395,2532,131686,9894,218776,16766,261985,32709,332554,51299,386509,62517,407632,52589,773329,917,84514,4235,243502,7849,334263,17733,491985,30688,633903,41022,724289,57190,1094566,2574,520192,9695,781893,15830,883600,29427,1000754,43983,1068118,51747,1087487,22937,618191,474,56889,2665,199528,4973,294284,10960,461462,17491,568144,20557,601915,67799,2415570,802,60572,5506,379405,11609,715492,28737,1488109,49133,2139765,59924,2340481,17999,1583777,2043,1105268,5539,1409138,7648,1483137,11534,1553353,15099,1584627,16787,1588662,3182484,843732,1497436,1910379,2559928,3024421,3167389
04,AZ,Arizona,3215618,32156.00,160781.00,321562.0,803905.00,1607809.0,2411714.00,485146.45,204753.15,144061,82653,41941,21639,245258932,47103663,84035268,111268058,163341675,210958892,236050888,2560255,157239175,26765,15696940,137325,39592726,273797,58587108,671247,95351774,1347139,131460188,2035583,151263483,798855,2010643,28598,763168,116338,1102902,200577,1293361,390196,1595768,576270,1817140,678175,1919469,567776,5466505,24736,2329502,99629,3360716,167283,3888226,307930,4643378,435246,5124827,499655,5312198,517125,6960907,8866,1000927,38721,2245315,70953,2940014,153205,4102884,261703,5256775,362716,6103146,560927,19925513,26771,13971525,104732,17016317,172195,18118913,308501,19249652,431398,19739747,495195,19875133,296386,6962829,4233,530778,24981,1873875,51782,3001394,125597,4939770,201600,6153233,246493,6640927,670393,18251950,6072,435013,41975,2596520,95021,5197293,253854,11082764,441097,15599333,555401,17306942,164913,15527267,18929,10824751,52801,13694226,74566,14488758,110959,15229661,139438,15523583,153006,15565787,30230700,11879274,17969435,21397116,26190568,29256406,30147241
05,AR,Arkansas,1248152,12482.00,62408.00,124815.0,312038.00,624076.0,936114.00,387666.29,171239,123132.9,72149,36477,18456,84369085,18522348,30304950,39241721,56763458,72908599,81326358,1019226,53559804,10943,4842334,55137,12845577,109597,19302525,269819,32174254,539655,44792227,806748,51496520,319191,667546,11075,276477,45379,370054,78977,426750,155149,522850,229152,595725,271404,634018,174097,3986249,9189,3278150,35323,3521118,56944,3637849,99710,3802828,136492,3907027,155868,3952318,209079,2119766,3823,258169,15475,589940,28032,778845,61334,1114179,105629,1486412,147825,1800795,164101,7449151,9536,6114001,35031,6736114,55467,6973343,95142,7251415,128934,7384528,146880,7429115,96189,1823407,1524,113235,8589,461430,17492,750654,41194,1255899,65292,1580206,80606,1728318,254422,6053264,2133,142895,16133,917818,36958,1802385,96789,3676734,167608,5135905,213684,5745811,64624,4576795,7440,3095666,21014,4018525,29828,4274924,43938,4500578,54921,4586018,60179,4593024,9131095,3910187,5664393,6647170,8016413,8885088,9116484
06,CA,California,18321385,183214.00,916069.00,1832139.0,4580346.00,9160693.0,13741039.00,726188.16,274283,180649,95229,45976,22399,1811774615,445354692,744595820,945218460,1299564857,1605869401,1758387204,14748481,1174487075,156357,173035116,809999,380932836,1618558,529583781,3962069,792783276,7893445,1028077981,11823128,1142006262,6515099,16208534,173654,7221648,800145,9799867,1504820,11217045,3249749,13456241,4974293,15038746,5781235,15695815,3571121,43872196,156484,22345899,676675,30055399,1146651,33870698,2069399,39015174,2859000,42081044,3232119,43147397,3418549,54883308,41838,8210479,201968,18086400,390093,24119007,886338,33306834,1581227,42121584,2294773,48848687,3598955,191365149,164325,143610254,697381,170376989,1161832,178903358,2057742,186823754,2846212,190153171,3246628,191036455,1181204,28159217,17087,1893911,98383,6674057,207824,11162557,522447,19820543,844904,25157247,1013991,27027918,2822309,93778320,22082,1627339,148391,10378752,365936,24192989,1081048,58007662,1945088,82684018,2416695,90307663,1026924,115543601,95453,77674180,297415,101951017,438964,108327706,672145,113650399,858873,115661943,953734,115898986,277771345,120038189,179627491,209574369,248919817,271300807,277197776
08,CO,Colorado,2724485,27245.00,136224.00,272449.0,681121.00,1362243.0,2043364.00,609919.28,252092.8,174843.6,99852,51438,25954,253607317,49017774,87959441,116128712,169303020,218509325,244345028,2242517,164921967,22762,16399586,119351,41435693,240662,61856460,594811,101064499,1176808,138311737,1765923,158562337,908691,2962190,25346,1679526,110692,2024335,199146,2206282,411366,2509904,647578,2756580,782022,2870185,643734,6120662,22794,2447825,97755,3628182,171316,4228101,329562,5107710,488043,5718990,570179,5953985,496675,7843323,7418,848028,34202,2089236,64594,2943688,145746,4395113,254874,5883908,352204,6962666,614832,24419306,24047,16543541,100740,20498519,172216,21920700,320570,23379692,468265,24096642,545631,24315335,246654,5928889,3057,343130,18716,1333938,38507,2198545,96717,3937624,165925,5159886,205871,5635166,488064,14546539,3999,252845,26491,1556505,60476,3284801,169820,7894956,316939,12246783,407108,13818453,218614,16986282,17954,9499880,56813,13740610,85027,15062078,135603,16362983,179454,16939154,201513,17045633,34681084,12676656,19724845,23689138,29375889,33260061,34532928
09,CT,Connecticut,1710137,17101.00,85507.00,171014.0,427534.00,855069.0,1282603.00,819630.4,285418,190572.8,106023,53480,25444,191102627,51203764,81053789,100627441,136534958,169083071,185502522,1376831,121561220,14360,20638953,75380,41283209,152022,55750478,374287,82026554,733024,105786959,1096247,118087404,601177,2412519,16497,1426827,73455,1702608,131741,1833005,271848,2051231,433558,2235860,519450,2317423,447174,6015181,15696,2957511,67772,4066605,117456,4567696,225469,5258749,339644,5735174,397429,5908426,285085,6731991,4560,1181192,22810,2711554,42259,3560160,90939,4722965,152088,5654577,206337,6252916,390695,20478869,15870,15967090,66083,18226174,110936,19031429,203603,19887675,300233,20318394,349681,20438683,178749,3988604,1789,252006,11456,889611,24422,1447797,64112,2573120,115985,3450251,146566,3784085,362517,10400434,2430,172464,16593,1014605,39749,2212366,117942,5502593,228935,8732497,297135,9842183,93479,9974926,10306,6494095,29922,8830480,41858,9384796,61254,9814837,78043,9989770,86858,10035789,31477008,14544164,20687909,23657831,27817770,30602506,31396574
10,DE,Delaware,474378,4744.00,23719.00,47438.0,118595.00,237189.0,355784.00,455812.92,208776.45,153187.3,91568.25,47005.5,23379,36676604,5360960,10724532,14918469,23258101,31142602,35220102,379459,23856200,3975,2018172,20692,5583998,41131,8533524,99894,14213991,197364,19822763,297129,22893403,145296,242974,4336,55563,18311,94802,32623,119302,67396,169245,105381,211025,125895,228934,100787,866569,3907,358267,15897,507556,27098,587381,52223,720236,77224,811877,89849,844852,66488,892503,1180,126442,4955,301148,8972,393780,19769,543983,34227,691810,47396,793340,86525,1841922,3929,1106484,15131,1451504,24914,1581067,46155,1737152,66890,1814433,77477,1835300,53094,1181268,704,69221,4260,280158,8614,454911,21407,795705,36282,1037753,45014,1130737,122294,3585745,1071,75719,7514,482698,16382,947208,43829,2056517,79553,3019705,102232,3399192,22412,2009296,2555,1467789,6571,1792834,9044,1868836,13947,1957752,18351,2002015,20597,2012883,4416821,1360284,2254104,2805792,3642566,4233374,4400341
11,DC,District of Columbia,334892,3349.00,16745.00,33489.0,83723.00,167446.0,251169.00,871923.45,330995.9,217921.8,111818,58339.5,27761,40223470,10195014,16642338,21086664,28756872,35527367,39068912,284870,26374832,2545,2754371,14371,7130069,29471,10592536,74408,16842993,149675,22631470,224312,25565904,108881,277585,3211,138546,14524,186041,26967,207923,56066,243872,85327,264432,99008,272295,87854,1071549,3044,456432,13548,697383,24691,816686,49215,968085,72694,1038253,82296,1059843,60904,1378655,972,345855,4538,668635,8470,856830,17759,1091359,29598,1222891,41505,1289160,79447,4075417,3040,3066744,13057,3583957,23327,3781126,45198,3972673,65714,4045642,74352,4067660,16402,465116,365,55177,2133,161507,4147,246815,8549,364658,12378,429279,14541,452209,44611,1801263,539,48366,3027,258581,6128,490147,14833,987786,26609,1462766,36923,1714340,15320,3143118,2322,2329404,5999,2978107,8130,3075250,11314,3133729,13511,3147586,14545,3148121,7116072,2859081,4258409,5021933,6138578,6894771,7096809
