statefips,state,state_name,total,top_01,top_05,top_10,top_25,top_50,top_75,agi_01,agi_05,agi_10,agi_25,agi_50,agi_75,total_agi,sum_agi_01,sum_agi_05,sum_agi_10,sum_agi_25,sum_agi_50,sum_agi_75,total_sal_num,total_sal_amt,num_sal_01,sum_sal_01,num_sal_05,sum_sal_05,num_sal_10,sum_sal_10,num_sal_25,sum_sal_25,num_sal_50,sum_sal_50,num_sal_75,sum_sal_75,total_int_num,total_int_amt,num_int_01,sum_int_01,num_int_05,sum_int_05,num_int_10,sum_int_10,num_int_25,sum_int_25,num_int_50,sum_int_50,num_int_75,sum_int_75,total_div_num,total_div_amt,num_div_01,sum_div_01,num_div_05,sum_div_05,num_div_10,sum_div_10,num_div_25,sum_div_25,num_div_50,sum_div_50,num_div_75,sum_div_75,total_businc_num,total_businc_amt,num_businc_01,sum_businc_01,num_businc_05,sum_businc_05,num_businc_10,sum_businc_10,num_businc_25,sum_businc_25,num_businc_50,sum_businc_50,num_businc_75,sum_businc_75,total_cpgain_num,total_cpgain_amt,num_cpgain_01,sum_cpgain_01,num_cpgain_05,sum_cpgain_05,num_cpgain_10,sum_cpgain_10,num_cpgain_25,sum_cpgain_25,num_cpgain_50,sum_cpgain_50,num_cpgain_75,sum_cpgain_75,total_iradist_num,total_iradist_amt,num_iradist_01,sum_iradist_01,num_iradist_05,sum_iradist_05,num_iradist_10,sum_iradist_10,num_iradist_25,sum_iradist_25,num_iradist_50,sum_iradist_50,num_iradist_75,sum_iradist_75,total_pension_num,total_pension_amt,num_pension_01,sum_pension_01,num_pension_05,sum_pension_05,num_pension_10,sum_pension_10,num_pension_25,sum_pension_25,num_pension_50,sum_pension_50,num_pension_75,sum_pension_75,total_scorp_num,total_scorp_amt,num_scorp_01,sum_scorp_01,num_scorp_05,sum_scorp_05,num_scorp_10,sum_scorp_10,num_scorp_25,sum_scorp_25,num_scorp_50,sum_scorp_50,num_scorp_75,sum_scorp_75,total_tax,sum_tax_01,sum_tax_05,sum_tax_10,sum_tax_25,sum_tax_50,sum_tax_75
0,US,United States,138509177,1385092,6925459,13850918,34627294,69254589,103881883,480871,199617,140634,81629,40919,19989,1.03324E+13,1.99026E+12,3.54823E+12,4.69288E+12,6.88971E+12,8.9167E+12,9.94432E+12,114731916,7.10549E+12,1183681,7.79544E+11,6128442,1.8653E+12,12305881,2.72193E+12,30403338,4.38012E+12,60265966,5.96828E+12,90012870,6.81678E+12,41020145,90611487079,1278709,43890350001,5442382,56300557251,9737312,63003236860,19801464,74087250667,30314563,83088016690,35958595,87303621041,26124046,2.45332E+11,1125533,1.15245E+11,4528801,1.59198E+11,7617324,1.8042E+11,14022078,2.10689E+11,20118026,2.31512E+11,23281163,2.39653E+11,24133029,3.45967E+11,386296,53532462086,1739661,1.20524E+11,3194561,1.55263E+11,6990098,2.08865E+11,12049648,2.59014E+11,16618739,2.9686E+11,22728863,6.04017E+11,1162053,4.56393E+11,4454126,5.29787E+11,7231075,5.55995E+11,12715920,5.84739E+11,17799891,5.98946E+11,20388052,6.02953E+11,14128116,2.52397E+11,215434,13664437385,1163708,57519161760,2335334,95265766045,5622936,1.66275E+11,9431462,2.17402E+11,11802387,2.3934E+11,27558721,6.9162E+11,230356,13692568515,1519985,85545782049,3443460,1.74848E+11,9381130,3.84361E+11,17186521,5.71532E+11,22551973,6.52208E+11,8275650,6.69513E+11,850505,4.53872E+11,2448516,5.814E+11,3498898,6.15719E+11,5318365,6.48844E+11,6872243,6.65124E+11,7677037,6.69573E+11,1.44683E+12,5.42401E+11,8.42099E+11,1.00411E+12,1.24031E+12,1.40058E+12,1.44319E+12
1,AL,Alabama,1899644,18996,94982,189964,474911,949822,1424733,358539,162617,119696,71183,35400,17709,1.1451E+11,17185042195,33806538331,46900802304,73072931804,97169256461,1.09425E+11,1582500,80328821141,16437,6429768600,84177,17722949629,168974,27554165561,416470,47292491719,825412,66340393550,1229698,76551380049,482065,753643888,16938,258941684,68843,381937552,121149,449980046,241793,569836639,360771,665485862,427118,715058303,253855,1704967551,13942,646907170,51598,1012114930,83468,1183279182,146279,1432557728,201167,1595740427,229884,1659697208,334708,3284735217,6287,620094919,25035,1301593525,44171,1582326692,95488,2050431361,164233,2427674637,227219,2631254204,213092,4016357619,14196,2877976518,48675,3440948445,75754,3641989543,127363,3871741385,171184,3979868384,193173,4010476983,173499,2838653124,3467,192033801,17775,767607508,33425,1180596786,74270,1933606233,118649,2456640079,147104,2693491073,420434,10257600750,3893,235244705,29462,1586178388,62030,2914753241,153568,5867640564,268819,8455219135,354115,9724597329,90416,7467503359,12845,5580953507,32071,6766339631,43478,7051836404,62667,7332811774,77836,7454274823,84955,7474760112,13587599013,4606022205,7407770062,9084638339,11592282795,13198728606,13560354429
2,AK,Alaska,319249,3192,15962,31925,79812,159625,239437,410267,195062,147945,92110,48542,23756,23645680926,2870883578,6162921369,8845318355,14387660424,19814688536,22629993899,274025,16687823550,2738,1064079210,14155,3235875447,28664,5226792883,71011,9381692219,140618,13583238162,211820,15916051812,83789,142772058,2911,43567417,11700,69026050,20251,81914480,40532,105735282,63328,127432529,74832,136703578,77288,372865857,2384,105790116,9173,170696280,15719,204686968,31190,265335815,50434,321194771,63561,349117464,54578,880689937,941,138993628,4425,313646129,8095,397406261,18588,555662988,32380,715004301,42727,815751601,47432,680906753,2414,349614216,8750,504606497,14079,558907596,25516,627049285,37386,666375264,43067,676984226,23982,486392189,495,30971109,2643,129317168,5004,202850548,11123,340708516,18095,437847904,21427,471505993,62555,2056297804,769,50322770,5129,315142460,10646,595051927,25816,1236194796,44261,1799517935,54572,1983668750,18000,1456088706,2025,1017647008,5433,1272300810,7454,1340500545,11377,1411914424,14985,1447819459,16738,1458721331,3266677515,846775077,1484006207,1901269848,2581483859,3089741818,3247453894
4,AZ,Arizona,2763225,27632,138161,276323,690806,1381613,2072419,405537,179657,128710,75583,37985,19438,1.81691E+11,28740370241,55986615767,76735318003,1.17234E+11,1.54573E+11,1.73986E+11,2246032,1.23693E+11,23418,11575062476,119378,29786363141,237776,44446446888,582588,73410040537,1164491,1.02097E+11,1754619,1.18103E+11,653129,1508900502,24293,598129854,96333,847123439,165777,980492026,323026,1201624059,480323,1366777007,564975,1443019082,469230,3850950154,20253,1465457930,80605,2202556081,135835,2592248611,251347,3176080041,357813,3567910793,412508,3724703213,450304,5712300322,7876,759561405,34158,1749634976,62909,2286508176,136485,3190066879,232084,4086708696,313942,4788702014,443423,8494715985,21829,5826109643,83646,7137181365,136763,7638030730,243980,8194207060,341044,8434828317,390451,8492346305,305941,5863516543,4602,323622252,26095,1411696284,53355,2335591696,127642,3996801029,207340,5098555175,255622,5568027732,588917,14817852407,5360,326679081,36911,2051344279,82702,4112007617,216910,8740042439,379829,12490565256,485333,14015459214,157683,10674615157,16813,6863397561,47274,9013413590,67512,9649978316,102659,10284523142,131503,10593218640,145592,10675095013,23000635719,7768721883,12643046833,15454249449,19565384151,22242954918,22935929657
5,AR,Arkansas,1137211,11372,56861,113721,284303,568606,852908,348702,155521,113257,67364,34276,17545,68975583348,13149217066,22831613200,30274289337,45077560860,58887693685,66063242745,951079,46217474062,10066,4059337127,50418,10627565373,100447,16079899480,247840,27138761401,494875,38123707938,739708,44074955750,269501,480940953,9981,183902156,39856,254588026,69013,302723854,134089,373647920,198343,427397031,235202,456294238,159595,3824218706,8040,3230602258,31371,3424628536,50713,3521990714,89330,3661324483,123854,3753299722,142918,3794378399,192341,1971472074,3554,249334572,14395,565483188,26272,729978238,57539,1016485596,98637,1328056411,133485,1590379853,140918,3173944002,8345,2374383065,30081,2739636764,47303,2877564667,80541,3047152594,109811,3136384596,126038,3164542053,106703,1684118072,1814,96799064,10013,414257284,19784,673016689,45275,1124569215,72241,1438212634,89763,1589871093,231024,5041804584,1956,103799554,14426,718578176,32254,1412817590,83749,2918902359,146609,4171061478,191540,4756338509,63868,3859986665,7244,2474427733,20359,3300199974,28711,3518957855,42610,3738730070,53824,3839397466,59352,3863260122,8272745386,3330441727,4919597910,5828368109,7177372217,8042572580,8255376889
6,CA,California,16661879,166619,833094,1666188,4165470,8330940,12496409,584614,236593,162703,88656,42740,20885,1.44121E+12,3.21221E+11,5.468E+11,7.07956E+11,1.00408E+12,1.26364E+12,1.39198E+12,13750001,9.70519E+11,138532,1.21282E+11,727564,2.77901E+11,1466310,3.98837E+11,3615694,6.22653E+11,7188691,8.27904E+11,10792871,9.34463E+11,5618701,12805230967,157031,6469019589,707245,8321137479,1322072,9286737624,2847275,10830128362,4376307,11973313043,5065684,12440401898,2996144,34911941658,134928,17550515735,564959,23480601517,954292,26407652041,1729131,30589750774,2399901,33283670145,2708887,34234698801,3250975,57863983921,42189,7559273216,205157,17550033858,390925,23398420639,880700,32942830506,1544225,42196358409,2178434,49763634041,2868503,1.12924E+11,142747,88955505370,583595,1.02138E+11,961864,1.06533E+11,1686924,1.10715E+11,2307852,1.12439E+11,2599707,1.12835E+11,1343432,27286408013,23232,1510197491,118970,6079479619,240815,10346869459,586502,18608573152,956956,24093920708,1152655,26089277205,2575858,78956585955,24105,1512508723,147230,9412645325,339306,20463165286,951300,47134515017,1715760,68276714959,2168111,75574949228,990855,98883961273,99827,65865517819,299777,85714469563,432822,91008002732,656886,96010636244,835971,98276758441,923766,98866671830,2.16172E+11,84510605952,1.31347E+11,1.55375E+11,1.89442E+11,2.10433E+11,2.15636E+11
8,CO,Colorado,2455510,24555,122776,245551,613878,1227755,1841633,499387,215710,153506,89859,46259,23245,1.97226E+11,34258651934,63679216079,85722120136,1.28369E+11,1.68424E+11,1.89294E+11,2062010,1.32957E+11,20707,11444851611,108276,30844583797,218445,46947869981,540344,78784622066,1068190,1.09663E+11,1602324,1.26909E+11,764978,1819275098,22757,896746611,97117,1146535716,173828,1283766949,356854,1500897272,558738,1676954506,668765,1757058626,535347,4488477058,19482,1724915172,82165,2586205680,143097,3028167298,274534,3682893448,405310,4160585815,473528,4350969712,455923,6799580863,7122,695230040,32732,1810151550,61845,2502799658,140506,3750276974,245037,5005920227,331851,5939322026,497749,14742835531,20854,10405384954,85154,12501691332,144065,13308073895,264863,14164677856,382053,14575868795,442136,14700290793,256564,4769914783,3578,204574548,19474,916359847,40107,1620543407,99860,3012127208,172516,4076901843,214720,4505042562,452481,12502864979,3747,186796072,24876,1297617429,56696,2830290438,156851,6740265424,291885,10465390712,376450,11856207193,215745,14145100392,16777,7723498107,54286,11133435869,81599,12238654368,131872,13405047223,176414,13997627215,198550,14148693512,27986088791,9264245712,15068005218,18368320764,23264514193,26744318888,27855895955
9,CT,Connecticut,1601440,16014,80072,160144,400360,800720,1201080,766893,263572,177868,101415,51358,23869,1.64303E+11,40467983368,66417937530,83418554691,1.15197E+11,1.44516E+11,1.59151E+11,1319667,1.10096E+11,13576,17870052700,70547,35898387412,142617,48583271997,353999,72493937256,693579,94569120474,1034171,1.0635E+11,565987,2247214431,15348,1502322455,66829,1725832761,120677,1828332901,254395,1992243950,411800,2136712575,496865,2202193484,423634,5356038342,14610,2660257027,62255,3630095144,108823,4058706401,211096,4651698012,320103,5088024773,377055,5253403562,271484,6540691477,4174,1050319058,22256,2553636612,41359,3349807548,90159,4481852314,150067,5395973480,199387,6014386952,344479,11054568462,14743,8567482265,60402,9857970896,100780,10284308524,182462,10744396418,266631,10980369435,309672,11043620360,205147,3964293856,2380,203529053,13799,819271421,29033,1387079763,72931,2482179193,132227,3382709516,169002,3750963751,339533,9104491390,2416,166065884,15363,871447448,36743,1918673356,107057,4665729403,209044,7496980533,275302,8569590911,99911,11343249886,10239,7422089100,31111,9910093030,43950,10508492016,65342,11007983978,83875,11249916325,93531,11336227636,27788060386,11569635089,17484266541,20214447670,24078953429,26870096297,27708269994
10,DE,Delaware,422356,4224,21118,42236,105589,211178,316767,398210,188452,139421,84881,43405,21501,29466948582,3898680703,8130135557,11513097701,18339891875,24856103657,28193671611,347371,20204553417,3607,1692208338,18712,4590152424,37347,7020126880,91159,11843235335,179414,16617729991,268708,19268911673,126278,185647397,3841,49892464,16030,78856233,28620,97250016,58939,131560462,92661,161780426,111043,175832161,88350,660956620,3430,257971888,13877,378135815,23725,441399841,45344,541063960,67502,616006671,78979,643143053,55066,735999927,1089,104041548,4644,239137554,8260,308987742,18111,428679582,30500,551091905,40282,639483002,70813,968157999,3429,608221240,12652,772391416,20814,835863986,38018,914450961,54969,956581782,63729,967130597,54332,999691462,813,48362733,4514,217118494,8953,362619308,21750,650387841,36992,867320073,46332,953830892,108812,2904206380,963,56067206,6686,379800098,14493,745652319,38008,1612732427,69337,2400344385,90358,2741439564,22269,1525008753,2413,1014629655,6284,1291858916,8824,1367595943,13725,1456904784,18295,1505718290,20637,1522974878,3752149700,1039056406,1805608671,2280112851,3029601756,3583118818,3736745009
11,DC,District of Columbia,329379,3294,16469,32938,82345,164690,247034,727609,279782,186192,96406,50968,24490,32447390609,6955413831,12316758631,16029855919,22501616295,28289548741,31356416003,284454,22463128657,2412,2149700385,13892,5758747617,28684,8644708602,72852,13922628264,146719,18900971321,220004,21578217045,92679,203640210,3157,106146049,13781,138449709,25113,155474950,50529,181047857,74254,194424714,85618,200204313,75055,883732543,2993,380880968,12758,585823924,22681,682461117,43482,801486383,62088,854506659,70294,874130570,61012,1341220844,1025,328979631,4830,659289327,8878,825458750,18418,1037483167,30343,1157416437,41936,1227976539,64893,2140555716,3022,1580752835,12339,1884083171,21383,1990187701,39295,2089104725,54400,2123831494,61062,2136121824,19126,452788730,604,44021070,2868,166703498,5313,250320194,10379,359865132,14783,417848049,17124,440423240,45856,1698552798,667,48339362,3468,255580006,6760,471877632,15547,926725952,27583,1371038709,37916,1611411559,16071,2693773222,2330,1971355448,6225,2524004111,8634,2614376715,12005,2672690450,14225,2688327234,15328,2692725724,5667657538,1932520410,3150263839,3794208624,4765786144,5458040755,5650009872
